run_id,tool,dbms,repeat_id,elapsed_min,risk_branches_hit,target_region_branch_coverage,risk_targets_hit,target_function_hit_rate,global_branches_hit,global_branch_coverage,risk_branches_total,global_branches_total,risk_targets_total
postgresql_sqleek_wo_m1_r2,SQLeek-W/O-M1,PostgreSQL,2,1440,800,0.25,2949.130434782608972,0.627906976744186,55376.930593072931515,0.32456295037553,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,60,400,0.125,2738.47826086956502,0.5813953488372093,34265.001482882726123,0.2008264065343027,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,180,600,0.1875,2738.47826086956502,0.5813953488372093,41436.793686927383533,0.24286012007342273,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,300,600,0.1875,2738.47826086956502,0.5813953488372093,43839.015846806192712,0.2569394903692779,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,480,600,0.1875,2738.47826086956502,0.5813953488372093,46174.908502128142572,0.2706301049239722,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,600,600,0.1875,2738.47826086956502,0.5813953488372093,47625.26808114976302,0.27913062994461235,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,720,600,0.1875,2738.47826086956502,0.5813953488372093,48337.797398141985468,0.2833067483187316,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,900,600,0.1875,2738.47826086956502,0.5813953488372093,49520.787530960180447,0.2902402270012905,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,1200,600,0.1875,2738.47826086956502,0.5813953488372093,50681.895765367873537,0.2970454563671778,3200,170620,4845
postgresql_sqleek_wo_m1_r4,SQLeek-W/O-M1,PostgreSQL,4,1440,600,0.1875,2738.47826086956502,0.5813953488372093,51367.072709346968622,0.30106126309545755,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,60,300,0.09375,1685.217391304347757,0.3488372093023256,29117.284881810239312,0.17065575478730652,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,180,300,0.09375,1685.217391304347757,0.3488372093023256,33538.11217005859362,0.19656612454611766,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,300,600,0.1875,2738.47826086956502,0.5813953488372093,37027.591157209615631,0.2170178827640934,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,480,600,0.1875,2738.47826086956502,0.5813953488372093,38913.537276465445757,0.22807137074472775,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,600,600,0.1875,2738.47826086956502,0.5813953488372093,40241.49498625328124,0.23585450115023607,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,720,600,0.1875,2738.47826086956502,0.5813953488372093,40539.635852096478629,0.23760189808988674,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,900,600,0.1875,2738.47826086956502,0.5813953488372093,41709.633607733434474,0.24445922874067186,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,1200,600,0.1875,2738.47826086956502,0.5813953488372093,43538.823552987014409,0.25518007005618926,3200,170620,4845
postgresql_sqleek_wo_m1_r5,SQLeek-W/O-M1,PostgreSQL,5,1440,600,0.1875,2738.47826086956502,0.5813953488372093,44370.335692586384539,0.2600535440897104,3200,170620,4845
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,60,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85584.252611363830511,0.26177037233093076,4602,326944,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,180,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85589.283664588248939,0.26178576045007174,4602,326944,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,300,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85608.401666841076803,0.2618442353028074,4602,326944,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,480,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85607.395456196172745,0.2618411576789792,4602,326944,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,600,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85613.432720065495232,0.2618596234219484,4602,326944,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,720,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85613.432720065495232,0.2618596234219484,4602,326944,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,900,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85613.432720065495232,0.2618596234219484,4602,326944,
mysql_sqleek_wo_m1_r1,SQLeek-W/O-M1,MySQL,1,1200,1714.35022865853648,0.3725228658536585,749,0.5395590142671854,85614.438930710384739,0.2618627010457766,4602,326944,
