tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit,risk_branches_total,risk_targets_total,global_branches_total,mean_target_region_hit_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage
SQLeek-W/O-M2,MySQL,300,0.4615819209039548,0.01146063103236221,2124.2,52.74182401093083,844,10.677078252031311,0.3248666438289126,0.003473570734613924,106213.2,1135.663110257615,4602,1445,326944,0.5840830449826989,0.005125350010681099,0.010045686020934953,0.0015534280574501231,0.0030447189926022414
SQLeek-W/O-M2,MySQL,480,0.48313776618861365,0.02088176157795187,2223.4,96.09786678173454,868.8,23.231444208227778,0.3348414407360282,0.004538080477372133,109474.4,1483.6981835939544,4602,1445,326944,0.6012456747404844,0.00933860767564873,0.01830367104427151,0.0020294912869537572,0.003977802922429364
SQLeek-W/O-M2,MySQL,600,0.4946110386788353,0.022344306387537767,2276.2,102.82849799544871,877.8,24.47856204927079,0.3401469364784183,0.004345500675856145,111209,1420.7353729671124,4602,1445,326944,0.6074740484429065,0.009992677598523441,0.019585648093105944,0.0019433669814971238,0.0038089992837343624
SQLeek-W/O-M2,MySQL,720,0.5003911342894394,0.01798346233558683,2302.8,82.75989366837055,883,21.342445970413046,0.3435108153078203,0.002944033227095479,112308.8,962.5339993995017,4602,1445,326944,0.6110726643598616,0.008042448850635858,0.01576319974724628,0.0013166116847607133,0.002580558902130998
SQLeek-W/O-M2,MySQL,900,0.5075184702303347,0.012697090781044994,2335.6,58.43201177436902,889.2,14.889593681494468,0.3466214397572673,0.0024832727491738717,113325.8,811.891125705904,4602,1445,326944,0.615363321799308,0.0056783116205805,0.011129490776337781,0.0011105533347651123,0.00217668453613962
SQLeek-W/O-M2,MySQL,1200,0.5164276401564537,0.010192819534976945,2376.6,46.90735549996397,898.4,9.60728889958036,0.35010276989331507,0.0027301298518317783,114464,892.5995742772903,4602,1445,326944,0.6217301038062284,0.004558367472519248,0.008934400246137727,0.001220951187219457,0.0023930643269501352
SQLeek-W/O-M2,MySQL,1440,0.5213385484571925,0.01013568001943757,2399.2,46.64439944945159,899.4,10.237187113655782,0.35301825389057456,0.002588878995883681,115417.2,846.418454430195,4602,1445,326944,0.6224221453287198,0.00453281390432976,0.008884315252486329,0.0011577818840634616,0.0022692524927643847
SQLeek-W/O-M2,MariaDB,60,0.359345574387947,0.004489182278841,1526.5,19.070046320517072,1394.75,11.176612486199325,0.248016182392581,0.003047048195035,73167.75,898.915782113838191,4248.000000000001819,2972.662061636554427,295012,0.468760505698177,0.00224459113942,0.004399398633264,0.001523524097518,0.002986107231135
SQLeek-W/O-M2,MariaDB,180,0.389712806026365,0.004810945089758,1655.5,20.436894741292441,1512.75,11.814539065631521,0.268975499301723,0.003305737664988,79351,975.232280023584963,4248.000000000002728,2972.662061636555791,295011.999999999650754,0.508419110971082,0.002405472544879,0.004714726187963,0.001652868832494,0.003239622911689
SQLeek-W/O-M2,MariaDB,300,0.414959981167609,0.005162385188488,1762.75,21.929812280698314,1611,12.649110640673518,0.286441737963201,0.003521160720544,84503.75,1038.784666489322717,4247.999999999994543,2972.662061636554427,295012.000000000058208,0.541439848805204,0.002581192594244,0.005059137484719,0.001760580360272,0.003450737506134
SQLeek-W/O-M2,MariaDB,480,0.435322504708098,0.005396799509824,1849.25,22.925604317734646,1689.25,13.073510112692254,0.300414898377015,0.003690901591782,88626,1088.860260394632405,4248.000000000000909,2972.662061636556246,295012.000000000291038,0.567738907122232,0.002698399754912,0.005288863519628,0.001845450795891,0.003617083559946
