tool,dbms,elapsed_min,mean_target_region_branch_coverage,std_target_region_branch_coverage,se_target_region_branch_coverage,ci95_target_region_branch_coverage,mean_risk_branches_hit,std_risk_branches_hit,mean_risk_targets_hit,std_risk_targets_hit,mean_global_branch_coverage,std_global_branch_coverage,se_global_branch_coverage,ci95_global_branch_coverage,mean_global_branches_hit,std_global_branches_hit
SQLeek,MariaDB,300,0.503296,0.001997,0.001412,0.002768,2138,8.485281,1968,9.899495,0.345255,0.004441,0.003141,0.006155,101854.5,1310.268866
SQLeek,MariaDB,480,0.515772,0.000333,0.000235,0.000461,2191,1.414214,2012.5,17.67767,0.354809,0.001227,0.000868,0.001701,104673,362.038672
SQLeek,MariaDB,600,0.522363,0.004661,0.003296,0.00646,2219,19.79899,2028.5,24.748737,0.357819,0.001381,0.000976,0.001913,105561,407.293506
SQLeek,MariaDB,720,0.52766,0.004827,0.003413,0.00669,2241.5,20.506097,2046.5,16.263456,0.361826,0.000801,0.000566,0.00111,106743,236.173665
SQLeek,MariaDB,900,0.532486,0.008323,0.005885,0.011535,2262,35.355339,2064,28.284271,0.367619,0.003293,0.002329,0.004564,108452,971.564717
SQLeek,MariaDB,1200,0.546846,0.000666,0.000471,0.000923,2323,2.828427,2095,4.242641,0.376885,0.002524,0.001785,0.003498,111185.5,744.583441
SQLeek,MariaDB,1440,0.548493,0.000666,0.000471,0.000923,2330,2.828427,2098,5.656854,0.379361,0.003571,0.002525,0.00495,111916,1053.589104
SQLeek,MonetDB,60,0.239999,0.001376,0.000615,0.001206,28810,165.128738,8521.4,6.426508,0.271229,0.000952,0.000426,0.000835,81875.8,287.478173
SQLeek,MonetDB,180,0.260324,0.003004,0.001343,0.002633,31249.8,360.567885,8560.2,14.096099,0.285904,0.003,0.001342,0.00263,86305.8,905.715573
SQLeek,MonetDB,300,0.272628,0.002494,0.001115,0.002186,32726.8,299.410588,8577.6,16.471187,0.295012,0.002382,0.001065,0.002088,89055.2,719.044296
SQLeek,MonetDB,480,0.283211,0.004132,0.001848,0.003622,33997.2,496.01633,8581.8,12.132601,0.30295,0.002903,0.001298,0.002544,91451.6,876.231305
SQLeek,MonetDB,600,0.287754,0.003388,0.001515,0.002969,34542.6,406.643947,8583.4,13.183323,0.306407,0.00292,0.001306,0.002559,92495.2,881.408362
SQLeek,MonetDB,720,0.292206,0.003614,0.001616,0.003168,35077,433.795459,8586.6,14.943226,0.309663,0.002845,0.001273,0.002494,93478,858.946739
SQLeek,MonetDB,900,0.297319,0.003941,0.001763,0.003455,35690.8,473.12176,8589.4,16.577093,0.313391,0.003195,0.001429,0.0028,94603.2,964.35144
SQLeek,MonetDB,1200,0.303757,0.003287,0.00147,0.002881,36463.6,394.567231,8593.6,16.288032,0.318202,0.002735,0.001223,0.002397,96055.6,825.554238
SQLeek,MonetDB,1440,0.306986,0.003552,0.001589,0.003114,36851.2,426.439562,8596.8,15.303594,0.320521,0.002823,0.001263,0.002475,96755.8,852.295254
SQLeek,MySQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SQLeek,MySQL,60,0.448066,0,0,0,2062,0,857,0,0.32081,0,0,0,104887,0
SQLeek,MySQL,180,0.488049,0,0,0,2246,0,890,0,0.344129,0,0,0,112511,0
SQLeek,MySQL,300,0.502608,0,0,0,2313,0,902,0,0.356679,0,0,0,116614,0
SQLeek,MySQL,480,0.530639,0,0,0,2442,0,936,0,0.371204,0,0,0,121363,0
SQLeek,MySQL,600,0.538679,0,0,0,2479,0,938,0,0.374667,0,0,0,122495,0
SQLeek,MySQL,720,0.542156,0,0,0,2495,0,939,0,0.375392,0,0,0,122732,0
SQLeek,MySQL,900,0.549109,0,0,0,2527,0,939,0,0.377704,0,0,0,123488,0
SQLeek,MySQL,1200,0.566927,0,0,0,2609,0,947,0,0.382601,0,0,0,125089,0
SQLeek,MySQL,1440,0.575619,0,0,0,2649,0,949,0,0.385308,0,0,0,125974,0
SQLeek,PostgreSQL,0,0.375,0,0,0,1200,0,2738.478261,0,0.221944,0,0,0,37868,0
SQLeek,PostgreSQL,60,0.375,0,0,0,1200,0,2949.130435,0,0.471311,0,0,0,80415,0
SQLeek,PostgreSQL,180,0.375,0,0,0,1200,0,3159.782609,0,0.479276,0,0,0,81774,0
SQLeek,PostgreSQL,300,0.375,0,0,0,1200,0,3159.782609,0,0.483372,0,0,0,82473,0
SQLeek,PostgreSQL,480,0.4375,0,0,0,1400,0,3370.434783,0,0.486537,0,0,0,83013,0
SQLeek,PostgreSQL,600,0.4375,0,0,0,1400,0,3370.434783,0,0.487416,0,0,0,83163,0
SQLeek,PostgreSQL,720,0.4375,0,0,0,1400,0,3370.434783,0,0.487733,0,0,0,83217,0
SQLeek,PostgreSQL,900,0.4375,0,0,0,1400,0,3370.434783,0,0.488718,0,0,0,83385,0
SQLeek,PostgreSQL,1200,0.4375,0,0,0,1400,0,3370.434783,0,0.489515,0,0,0,83521,0
SQLeek,PostgreSQL,1440,0.4375,0,0,0,1400,0,3370.434783,0,0.489843,0,0,0,83577,0
SQLeek,SQLite,60,0.784633,0.001549,0.000774,0.001518,2203.25,4.349329,652,0,0.448023,0.000733,0.000367,0.000718,28011.5,46.11941
SQLeek,SQLite,180,0.784633,0.001549,0.000774,0.001518,2203.25,4.349329,652,0,0.448351,0.000725,0.000362,0.00071,28032,45.555827
SQLeek,SQLite,300,0.784989,0.001465,0.000732,0.001435,2204.25,4.112988,652.5,1,0.449271,0.001156,0.000578,0.001133,28089.75,72.651566
SQLeek,SQLite,480,0.785078,0.001606,0.000803,0.001574,2204.5,4.50925,652.5,1,0.449339,0.001201,0.0006,0.001177,28094,75.449763
SQLeek,SQLite,600,0.785167,0.001603,0.000801,0.001571,2204.75,4.5,652.5,1,0.449419,0.001129,0.000565,0.001107,28099.25,70.674724
SQLeek,SQLite,720,0.785167,0.001603,0.000801,0.001571,2204.75,4.5,652.5,1,0.449459,0.001077,0.000539,0.001056,28101.75,67.415997
SQLeek,SQLite,900,0.785167,0.001603,0.000801,0.001571,2204.75,4.5,652.5,1,0.449459,0.001077,0.000539,0.001056,28101.75,67.415997
SQLeek,SQLite,1200,0.785167,0.001603,0.000801,0.001571,2204.75,4.5,652.5,1,0.449535,0.001018,0.000509,0.000997,28106.5,63.736436
SQLeek,SQLite,1440,0.785167,0.001603,0.000801,0.001571,2204.75,4.5,652.5,1,0.449555,0.00101,0.000505,0.00099,28107.75,63.231717
SQUIRREL,MariaDB,60,0.277778,0,0,0,1180,0,1112,0,0.218184,0,0,0,64367,0
SQUIRREL,MariaDB,180,0.289313,0,0,0,1229,0,1142,0,0.224459,0,0,0,66218,0
SQUIRREL,MariaDB,300,0.305556,0,0,0,1298,0,1201,0,0.228594,0,0,0,67438,0
SQUIRREL,MariaDB,480,0.313324,0,0,0,1331,0,1231,0,0.229597,0,0,0,67734,0
SQUIRREL,MariaDB,600,0.313324,0,0,0,1331,0,1233,0,0.229628,0,0,0,67743,0
SQUIRREL,MariaDB,720,0.31662,0,0,0,1345,0,1244,0,0.230882,0,0,0,68113,0
SQUIRREL,MariaDB,900,0.31662,0,0,0,1345,0,1244,0,0.230916,0,0,0,68123,0
SQUIRREL,MariaDB,1200,0.316855,0,0,0,1346,0,1244,0,0.231021,0,0,0,68154,0
SQUIRREL,MariaDB,1440,0.331921,0,0,0,1410,0,1311,0,0.235055,0,0,0,69344,0
SQUIRREL,MySQL,60,0.226749,0.001857,0.000928,0.001819,1043.5,8.544004,462,3.559026,0.173658,0.000555,0.000278,0.000544,56776.5,181.538793
SQUIRREL,MySQL,180,0.27048,0.007973,0.003986,0.007813,1244.75,36.69128,514.75,6.130525,0.178693,0.001851,0.000925,0.001814,58422.75,605.079265
SQUIRREL,MySQL,300,0.279063,0.007765,0.003882,0.00761,1284.25,35.733971,519.75,6.5,0.180061,0.002612,0.001306,0.002559,58870,853.82629
